values,move 0,move 5000,move 10000,move 15000,move 20000,move 25000,move 30000,move 35000,move 40000,move 45000,move 50000
-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-7.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-7.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-7.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-7.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-7.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-6.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-6.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-6.5600000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-6.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2401434307539603e-06
-6.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2401434307539603e-06
-5.92,0.0,2.2401434307539603e-06,0.0,0.0,2.2401434307539603e-06,2.2401434307539603e-06,2.2401434307539603e-06,0.0,0.0,0.0,0.0
-5.76,4.4802868615079205e-06,0.0,0.0,0.0,0.0,0.0,2.2401434307539603e-06,0.0,0.0,0.0,0.0
-5.6,2.2401434307539603e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.2401434307539603e-06,0.0,0.0,2.2401434307539603e-06
-5.4399999999999995,2.2401434307539603e-06,2.2401434307539603e-06,0.0,0.0,2.2401434307539603e-06,0.0,1.1200716471648775e-05,2.2401434307539603e-06,2.2401434307539603e-06,2.2401434307539603e-06,2.2401434307539603e-06
